Player,Team,Position_group,market_value_million,predicted_value_million
Tyler Dibling,Southampton,MID,25.0,23.846666666666668
Welington,Southampton,DEF,3.0,5.998333333333333
William Smallbone,Southampton,MID,6.0,8.186666666666667
Yukinari Sugawara,Southampton,DEF,11.0,12.843333333333334
Antonín Kinský,Tottenham,GK,15.0,11.691666666666666
Archie Gray,Tottenham,DEF,38.0,24.69
Ben Davies,Tottenham,DEF,6.0,5.973000000000001
Brennan Johnson,Tottenham,FWD,40.0,33.78333333333333
Cristian Romero,Tottenham,DEF,50.0,42.03666666666667
Dejan Kulusevski,Tottenham,MID,50.0,47.24333333333333
Destiny Udogie,Tottenham,DEF,40.0,36.36
Djed Spence,Tottenham,DEF,20.0,29.841666666666665
Dominic Solanke,Tottenham,FWD,40.0,36.82
Fraser Forster,Tottenham,GK,1.0,1.3505000000000011
Guglielmo Vicario,Tottenham,GK,32.0,29.723333333333333
James Maddison,Tottenham,MID,42.0,41.815
Kevin Danso,Tottenham,DEF,25.0,21.295
Lucas Bergvall,Tottenham,MID,38.0,34.34166666666667
Mathys Tel,Tottenham,FWD,35.0,29.163333333333334
Micky van de Ven,Tottenham,DEF,50.0,41.31166666666667
Mikey Moore,Tottenham,FWD,18.0,15.371666666666666
Pape Matar Sarr,Tottenham,MID,32.0,32.67
Pedro Porro,Tottenham,DEF,38.0,36.14333333333333
Radu Drăgușin,Tottenham,DEF,25.0,24.398333333333333
Richarlison,Tottenham,FWD,20.0,19.23
Rodrigo Bentancur,Tottenham,MID,30.0,26.713333333333335
Sergio Reguilón,Tottenham,DEF,6.0,6.513333333333334
Son Heung-min,Tottenham,FWD,,26.829666666666665
Timo Werner,Tottenham,MID,7.0,11.313333333333333
Wilson Odobert,Tottenham,MID,20.0,20.515
Yves Bissouma,Tottenham,MID,25.0,24.513333333333332
Aaron Cresswell,West Ham,DEF,0.5,1.3236666666666668
Aaron Wan-Bissaka,West Ham,DEF,24.0,27.323333333333334
Alphonse Areola,West Ham,GK,9.0,8.940166666666668
Andy Irving,West Ham,MID,,12.075
Carlos Soler,West Ham,MID,18.0,16.593333333333334
Crysencio Summerville,West Ham,MID,22.0,19.593333333333334
Danny Ings,West Ham,MID,6.0,6.534
Edson Álvarez,West Ham,MID,25.0,22.453333333333333
Emerson Palmieri,West Ham,DEF,,10.49883333333333
Evan Ferguson,West Ham,FWD,25.0,24.085
Evan Ferguson,West Ham,FWD,25.0,24.085
Guido Rodríguez,West Ham,MID,10.0,8.804666666666668
James Ward-Prowse,West Ham,MID,8.0,9.555666666666665
James Ward-Prowse,West Ham,MID,8.0,9.555666666666665
Jarrod Bowen,West Ham,MID,40.0,39.29333333333334
Jean-Clair Todibo,West Ham,DEF,25.0,24.316666666666666
Konstantinos Mavropanos,West Ham,DEF,17.0,18.756666666666668
Lucas Paquetá,West Ham,MID,28.0,29.916666666666668
Luis Guilherme,West Ham,MID,15.0,14.1
Max Kilman,West Ham,DEF,,31.095
Michail Antonio,West Ham,FWD,0.7,5.2058333333333335
Mohammed Kudus,West Ham,MID,45.0,45.223333333333336
Niclas Füllkrug,West Ham,FWD,10.0,9.1
Oliver Scarles,West Ham,DEF,8.0,16.43
Tomáš Souček,West Ham,MID,18.0,15.244166666666667
Vladimír Coufal,West Ham,DEF,5.0,5.714
Łukasz Fabiański,West Ham,GK,0.5,1.2788333333333335
André,Wolves,MID,28.0,29.416666666666668
Carlos Forbs,Wolves,MID,8.0,9.316666666666666
Craig Dawson,Wolves,DEF,1.5,2.0946666666666665
Daniel Bentley,Wolves,GK,1.5,4.903000000000004
Emmanuel Agbadou,Wolves,DEF,20.0,20.653333333333332
Gonçalo Guedes,Wolves,MID,11.0,13.61
Hwang Hee-chan,Wolves,MID,,11.968
Jean-Ricner Bellegarde,Wolves,MID,18.0,20.696666666666665
